"assessid","stockid","country","region","area","method","method1","method2","species","comm_name","b0_true","msy_true","type","class","order","family","genus","taxa_level","linf_cm","vonb_k","winf_kg","tmax_yr","tmat_yr","m","lmat_cm","temp_c","habitat","depth_m_mid","depth_m_min","depth_m_max","comm_depth_m_min","comm_depth_m_max","troph","feeding","lme_name","fao_area","long_dd","lat_dd","lat_dd_abs","area_sqkm","n","yr1","yr2","sst_c_avg","sst_c_trend","tb_max","tb_avg","tb_trend","tb_sd_trend","catch_avg","bbmsy_n","bbmsy_avg","ffmsy_n","ffmsy_avg","r","r_se","r_lo","r_hi","k","k_se","k_lo","k_hi","betaT","betaT_se","betaT_lo","betaT_hi","betaT_inf","sigmaP","sigmaP_se","sigmaP_lo","sigmaP_hi"
"AFSC-ARFLOUNDBSAI-1970-2010-STACHURA","ARFLOUNDBSAI","USA","US Alaska","Bering Sea and Aleutian Islands","Statistical catch at age model","AD-CAM","an AD-Model builder statistical Catch at Age Model","Atheresthes stomias","Arrowtooth flounder",NA,NA,"finfish","Actinopterygii","Pleuronectiformes","Pleuronectidae","Atheresthes","species",68.5489097441645,0.119846732300758,3.65077103261616,23.6760107532432,5.946775373065,0.176256804273318,34.1306404578802,9.3717240578145,"demersal",484,18,950,NA,NA,4.05,"hunting macrofauna (predator)","East Bering Sea",67,-169.6445003,56.74573122,56.74573122,372021.1683,34,1976,2009,5.11656985001907,0.00660386346781213,1050000,574147.058823529,24683.4224598924,0.0235080213903737,12937.3529411765,34,1.58502941176471,34,0.163629411764706,0.101736027530962,0.00971150604349291,0.0843760875177083,0.122667684675572,1.71001641953702,0.216992035719233,1.33347636860611,2.19288187172213,0.172632739499578,0.101099749303791,-0.0255227691358522,0.370788248135008,"none",0.0090107173977682,0.00110775923552023,0.00708129134747281,0.0114658505120565
"AFSC-ARFLOUNDGA-1958-2010-STACHURA","ARFLOUNDGA","USA","US Alaska","Gulf of Alaska","Statistical catch at age model","AD-CAM","an AD-Model builder statistical Catch at Age Model","Atheresthes stomias","Arrowtooth flounder",NA,254271,"finfish","Actinopterygii","Pleuronectiformes","Pleuronectidae","Atheresthes","species",68.5489097441645,0.119846732300758,3.65077103261616,23.6760107532432,5.946775373065,0.176256804273318,34.1306404578802,9.3717240578145,"demersal",484,18,950,NA,NA,4.05,"hunting macrofauna (predator)","Gulf of Alaska",67,-151.3650363,57.11169575,57.11169575,331532.6396,46,1964,2009,7.39096841607354,0.01192848150218,2190000,1231586.95652174,45262.1029910577,0.020667626936556,10979.7391304348,46,1.46382608695652,46,0.0703069565217391,0.0912937499483242,0.0171388548014674,0.0631887030837567,0.131899348663315,1.24311505741987,0.142206293684445,0.993427634352796,1.55555874685403,0.0544939570114987,0.230464307155032,-0.397216085012365,0.506203999035362,"none",0.0181947901944997,0.00190611145854804,0.0148174120833367,0.0223419844410047
"NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH","ARFLOUNDPCOAST","USA","US West Coast","Pacific Coast","Integrated Analysis","SS2","Stock Synthesis v2.0 model","Atheresthes stomias","Arrowtooth flounder",80313,5844,"finfish","Actinopterygii","Pleuronectiformes","Pleuronectidae","Atheresthes","species",68.5489097441645,0.119846732300758,3.65077103261616,23.6760107532432,5.946775373065,0.176256804273318,34.1306404578802,9.3717240578145,"demersal",484,18,950,NA,NA,4.05,"hunting macrofauna (predator)","California Current",77,-124.5679201,40.27264218,40.27264218,437002.0125,42,1965,2006,13.283987221058,0.00670443014652632,79800,66102.3809523809,349.720444048305,0.00438246170486598,3837.85714285714,42,2.99690476190476,42,0.34847619047619,0.114615538077048,0.0729557472887361,0.0329171174140641,0.399084810600042,1.80144473743851,1.25720217429996,0.458742320752294,7.0741307161787,0.230819669227742,0.24630350376061,-0.251935198143053,0.713574536598538,"none",0.0423756772108033,0.00466561571214568,0.0341504603247544,0.0525819564948166
"INIDEP-ARGHAKENARG-1986-2011-CHING","ARGHAKENARG","Argentina","South America","Northern Argentina","VPA","XSA","Extended Survivor Analysis","Merluccius hubbsi","Argentine hake",NA,NA,"finfish","Actinopterygii","Gadiformes","Merlucciidae","Merluccius","species",68.3555589329178,0.221322451046077,2.48657834310537,12.6590119801591,3.67631625241737,0.400870870075933,37.8955779208675,12.3792339027439,"benthopelagic",425,50,800,100,200,4.23,"hunting macrofauna (predator)","Patagonian Shelf",41,-57.17239715,-38.93373045,38.93373045,283280.5519,25,1986,2010,14.5281566479765,0.0336966743926597,581000,236200,-16203.8461538462,-0.0278895802992189,125064,0,NA,0,NA,0.832276014864707,0.0538618401512251,0.733127880901532,0.944832931557972,1.16911206826009,0.0694252090733145,1.04065898768795,1.3134206731718,-0.00470683370655964,0.14465650622186,-0.288233585901405,0.278819918488286,"none",0.0424219394540803,0.00609649391723683,0.0320082076493079,0.056223733823614
"AFSC-ATKABSAI-1976-2011-STACHURA","ATKABSAI","USA","US Alaska","Bering Sea and Aleutian Islands","Statistical catch at age model","AD-CAM","an AD-Model builder statistical Catch at Age Model","Pleurogrammus monopterygius","Atka mackerel",NA,NA,"finfish","Actinopterygii","Scorpaeniformes","Hexagrammidae","Pleurogrammus","species",45.4665862657319,0.433781217294873,0.57182873879973,11.5144809928042,3.93400721376365,0.56520880957024,33.8079418909366,8.02428216224085,"demersal",360,0,720,NA,NA,3.64,"hunting macrofauna (predator)","East Bering Sea",67,-166.5397143,54.51656103,54.51656103,46313.789,33,1977,2009,5.85570635114397,0.00212205964706733,710000,449818.181818182,7839.57219251338,0.011041650975371,45418.1818181818,33,1.50954545454545,33,0.425748484848485,0.462532761805911,0.124311498029271,0.273128596995612,0.783281421634661,0.916870470304162,0.0850697744316718,0.764415886737372,1.09973049213274,0.0356981459075588,0.338594886414932,-0.627947831465708,0.699344123280825,"none",0.101190658376503,0.0124680884933821,0.0794801526995694,0.12883152579456
"SPC-BIGEYEWPO-1952-2006-JENSEN","BIGEYEWPO","multinational","Pacific Ocean","Western Pacific Ocean","Statistical catch at age model","MULTIFAN-CL","A length-based, age and spatially-structured model for fisheries stock assessment","Thunnus obesus","Bigeye tuna",NA,64600,"finfish","Actinopterygii","Perciformes","Scombridae","Thunnus","species",200.905020335261,0.188156091541074,90.6544214412388,12.6444860937059,4.06656175872376,0.327124601839471,99.5200622023409,20.9351892315495,"pelagic-oceanic",125,0,250,0,50,4.48,"hunting macrofauna (predator)","South Pacific Ocean",77,-140.6338739,-2.210164951,2.210164951,87038360.95,54,1952,2005,24.6419509010951,0.00751507403423868,1e+06,517851.851851852,-11297.5033352392,-0.0112975033352392,68453.7037037037,54,2.07481481481481,54,0.617635185185185,0.259428646360032,0.0190475235053384,0.224657370046577,0.299581636419251,1.00685599296401,0.0430595796620924,0.925899580180958,1.09489086318562,1.24605387553111,0.317102311682758,0.624533344632906,1.86757440642932,"positive",0.0272904343686952,0.00297255648055503,0.0220441472453986,0.0337852854883066
"CSIRO-BIGHTREDSE-1958-2007-FULTON","BIGHTREDSE","Australia","Australia","Southeast Australia","Integrated Analysis","SS2","Stock Synthesis v2.0 model","Centroberyx gerrardi","Bight redfish",NA,2154.290996,"finfish","Actinopterygii","Beryciformes","Berycidae","Centroberyx","species",30.0096252642524,0.231372841838781,0.350842701216519,9.64748121010863,3.37841838975427,0.51478517083471,17.4512225530556,13.5054073343073,"demersal",255,10,500,NA,NA,NA,NA,"Southeast Australian Shelf",57,136.9560473,-36.86557736,36.86557736,527328.4316,33,1958,1990,16.7362687127441,0.0103311257557344,70400,65927.2727272727,293.415775401071,0.00416783771876521,16.3242424242424,33,1.17939393939394,33,0.0140757575757576,0.0299913198131496,0.0211368397223511,0.00753507005087499,0.119372382481058,1.02422617159812,0.071520238768754,0.893216215452571,1.17445164164984,0.0402126043960409,0.367048912185845,-0.679203263488215,0.759628472280297,"none",0.00500404180105828,0.000616333108228587,0.00393078248569736,0.00637034342089681
"NWFSC-BLACKROCKNPCOAST-1914-2006-BRANCH","BLACKROCKNPCOAST","USA","US West Coast","Northern Pacific Coast","Integrated Analysis","SS2","Stock Synthesis v2.0 model","Sebastes melanops","Black rockfish",2321,700,"finfish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","species",49.417653223595,0.146964145236459,2.05029610098954,42.7199550955174,8.42602885138929,0.109057250962829,33.9043262776203,12.3659732489379,"reef-associated",183,0,366,183,274,3.9,"hunting macrofauna (predator)","California Current",67,-125.8641758,46.93107757,46.93107757,88173.54994,38,1968,2005,11.7793072790169,0.0232410259863065,11900,9114.73684210526,-130.114892220156,-0.0109340245563156,383.342105263158,38,1.79702631578947,38,1.20584210526316,0.133640984536781,0.0160313856694779,0.105640109577693,0.169063746898379,1.05126417542641,0.0406761723111759,0.974486969321055,1.13409045100413,0.274731439100219,0.151465350937124,-0.0221406487365438,0.571603526936982,"none",0.0130043405863849,0.00151200694256633,0.0103542302826371,0.0163327325615195
"NWFSC-BLACKROCKSPCOAST-1915-2007-BRANCH","BLACKROCKSPCOAST","USA","US West Coast","Southern Pacific Coast","Integrated Analysis","SS2","Stock Synthesis v2.0 model","Sebastes melanops","Black rockfish",4.58e+09,1064.6,"finfish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","species",49.417653223595,0.146964145236459,2.05029610098954,42.7199550955174,8.42602885138929,0.109057250962829,33.9043262776203,12.3659732489379,"reef-associated",183,0,366,183,274,3.9,"hunting macrofauna (predator)","California Current",77,-124.4654167,39.93407486,39.93407486,415322.5895,39,1968,2006,13.2741049677853,0.00998347815595536,27100,20002.5641025641,-251.599190283403,-0.00928410296248718,787.076923076923,39,1.95230769230769,39,0.490615384615385,0.136287666953412,0.0235631416102724,0.0971152263425487,0.191260720518614,1.01302423552139,0.0528442436305973,0.914568481299879,1.12207901621007,0.0905985897080925,0.251936882795977,-0.403197700572023,0.584394879988208,"none",0.0219960491813631,0.00250408274899257,0.0175970588194079,0.02749471855236
"NEFSC-BLUEFISHATLC-1981-2007-SHEPHERD","BLUEFISHATLC","USA","US East Coast","Atlantic Coast","Statistical catch at age model","ASAP","Age Structured Assessment Program","Pomatomus saltatrix","Bluefish",NA,15565,"finfish","Actinopterygii","Perciformes","Pomatomidae","Pomatomus","species",99.8537955516183,0.185448659582066,9.53800162994096,9.6392967700102,2.6779024375532,0.378864828443736,42.6989858778237,23.0941495489717,"pelagic-oceanic",100,0,200,NA,NA,4.08,"hunting macrofauna (predator)","Southeast U.S. Continental Shelf",31,-76.1216086,33.71666181,33.71666181,634594.1465,25,1982,2006,21.8022500510929,-0.00439573747592648,366000,155944,-7599.92307692308,-0.0207648171500631,21183.2,25,1.06036,25,1.11332,0.160865458647023,0.0284800682971189,0.113700125289558,0.227596018208552,1.03861824887058,0.121820487281291,0.82530771421091,1.30706141274636,-0.0588025484800619,0.331572998046418,-0.708685624651042,0.591080527690918,"none",0.0253036316181156,0.00358506430809447,0.019168179405639,0.0334029518148677
"NWFSC-BLUEROCKCAL-1916-2007-BRANCH","BLUEROCKCAL","USA","US West Coast","California","Integrated Analysis","SS2","Stock Synthesis v2.0 model","Sebastes mystinus","Blue rockfish",2077,275,"finfish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","species",35.2447874084737,0.155359961966541,0.791072154376756,38.4375579327688,7.57864306042342,0.123828172163729,24.2142262622226,14.5922410584446,"reef-associated",275,0,550,183,550,3.48,"variable","California Current",77,-124.7317904,39.1651994,39.1651994,163996.2477,47,1960,2006,12.9998994808047,-0.00219044443412428,13000,7230.85106382979,-228.752312673454,-0.0175963317441118,373.042553191489,47,1.10048936170213,47,1.6676170212766,0.0809169638040301,0.0152080770126537,0.0559829926474042,0.116956145458335,1.10377964917881,0.0894879385828499,0.941609253422308,1.29388014137843,0.120401405416428,0.281064731220271,-0.430485467775304,0.67128827860816,"none",0.0173230839468676,0.00179341646573612,0.0141416726180153,0.021220208212707
"FAJ-BMACKECS-1992-2014-KUROTA","BMACKECS","Japan","Russia Japan","East China Sea","VPA","VPA","Virtual Population Analysis","Scomber australasicus","Blue mackerel",NA,NA,"finfish","Actinopterygii","Perciformes","Scombridae","Scomber","species",39.33812431554,0.378616370922957,0.702021056795293,7.96903005643873,2.18195234834117,0.569169493816239,23.1887232629687,22.5467043861144,"pelagic-neritic",143.5,87,200,NA,NA,4.07999992370605,"hunting macrofauna (predator)","East China Sea",61,127.7085192,31.18779222,31.18779222,576519.3524,22,1992,2013,21.4095063046659,0.00416807621888253,238000,150772.727272727,-2871.2591756068,-0.0120641141832218,58181.8181818182,0,NA,0,NA,0.754528011376815,0.152151408638421,0.508190427110363,1.12027399490667,1.3584615159474,0.249744208666287,0.947450791327754,1.94777154360064,-0.0500322233962,0.267102388335188,-0.573552904533169,0.473488457740769,"none",0.107185341892292,0.0162650212773974,0.0796097030447404,0.144312779437336
"ICCAT-BMARLINATL-1956-2010-CHING","BMARLINATL","multinational","Atlantic Ocean","Atlantic Ocean","Integrated Analysis","SS3","Stock Synthesis v3.0 model","Makaira nigricans","Blue marlin",NA,2000,"finfish","Actinopterygii","Perciformes","Istiophoridae","Makaira","species",430.897759757448,0.280475633345384,429.656875789835,16.8466629348774,3.85296899736425,0.328342363534166,202.378663350328,24.053444870992,"pelagic-oceanic",100,0,200,NA,NA,4.3899998664856,"hunting macrofauna (predator)","North Atlantic Ocean",34,-22.45219942,7.3944724,7.3944724,94627091.88,54,1956,2009,11.9036422739396,0.00827070436684958,63400,36262.962962963,-681.654278635414,-0.0107516447734292,3543.62962962963,54,1.12388888888889,54,1.06203703703704,0.187860115417384,0.0041755634620032,0.179851719999763,0.196225106797307,1.03982145043803,0.0130749064463322,1.01450784702527,1.06576666899266,0.692233166968884,0.102098081748331,0.492120926742156,0.892345407195612,"positive",0.00503220019857554,0.000490547966544484,0.00415699710043169,0.00609166622606351
"IOTC-BMARLINIO-1950-2014-PONS","BMARLINIO","multinational","Indian Ocean","Indian Ocean","Biomass dynamics model","ASPIC","Surplus production model","Makaira mazara","Indo-Pacific blue marlin",NA,9524,"finfish","Actinopterygii","Perciformes","Istiophoridae","Makaira","species",469.932498134381,0.194069783280333,644.705360765834,25.1701718109396,5.58884055181642,0.224538819545233,221.923526817253,24.217480945986,"pelagic-oceanic",100,0,200,100,NA,4.46,"hunting macrofauna (predator)","Indian Ocean",51,76.24703658,-14.90013419,14.90013419,48951560.03,61,1950,2010,24.198143547356,0.012026129349716,194000,160521.31147541,-1363.14119513486,-0.00702650100584979,5285.29508196721,61,1.65688524590164,61,0.446384075409836,0.148476622544604,0.00921635553066524,0.131468185750669,0.16768549224572,1.00879870781617,0.00972719039729271,0.989912442595026,1.02804529885872,-0.0466803751952053,0.14881979981393,-0.338367182830508,0.245006432440098,"none",0.00406289650384538,0.000370619292004537,0.00339771803568449,0.00485829837190523
"DFO-PAC-BOCACCBCW-1935-2012-CHING","BOCACCBCW","Canada","Canada West Coast","British Columbia Waters","Unknown","unknown","Unknown","Sebastes paucispinis","Bocaccio",NA,NA,"finfish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","species",37.9332703513578,0.136548765904023,1.0784789287361,42.5922828511873,8.7838475146727,0.12525982007626,25.5633172078874,15.8515502745113,"reef-associated",238,0,476,NA,NA,3.51,"hunting macrofauna (predator)","Gulf of Alaska",67,-128.4652717,51.38512955,51.38512955,135836.4559,77,1935,2011,9.94776002849852,0.00341332129855544,43600,16577.1428571429,-502.268783847732,-0.0115199262350397,1050.16883116883,77,0.633732467532467,0,NA,0.0732972510364573,0.00606146798056051,0.0623296257153912,0.0861947580759305,0.959809922351885,0.0407608426874194,0.883153242275827,1.04312031360624,-0.0320705163033964,0.14192609372184,-0.310245659998203,0.24610462739141,"none",0.0071932631862056,0.000582598747180977,0.00613739301270626,0.00843078407377482
"PFMC-BOCACCSPCOAST-1930-2009-CHING","BOCACCSPCOAST","USA","US West Coast","Southern Pacific Coast","Integrated Analysis","SS3","Stock Synthesis v3.0 model","Sebastes paucispinis","Bocaccio",NA,1270,"finfish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","species",37.9332703513578,0.136548765904023,1.0784789287361,42.5922828511873,8.7838475146727,0.12525982007626,25.5633172078874,15.8515502745113,"reef-associated",238,0,476,NA,NA,3.51,"hunting macrofauna (predator)","California Current",77,-123.5734586,37.98040185,37.98040185,298740.4063,54,1955,2008,13.7006897024309,-0.00411184844967294,60100,24289.2592592593,-675.326091099679,-0.0112367070066502,2769.11111111111,54,1.49768518518519,54,1.50030555555556,0.175408648870835,0.0420278675773491,0.109672964502149,0.280544929539939,1.52222065491588,0.385289185974378,0.926885473854793,2.49993746543011,0.21835878066699,0.219703580437616,-0.212260236990736,0.648977798324717,"none",0.0461103117982479,0.00446862277020354,0.0381333767364496,0.0557559029934885
