"year","sst","msy_r","msy_f"
1921,12.9490104387108,33936544.1631151,37817520.7849494
1922,12.8522069141268,34168607.3619506,38751903.2219863
1923,12.9003356701945,34566983.7731073,40392916.2060022
1924,12.8256700930978,34612473.4596545,40991163.0794954
1925,13.0182803113311,34576250.3753802,38998423.6141249
1926,13.2825130825047,34571871.2078139,42524929.0950359
1927,13.0452480121289,34595132.3717764,41626786.641624
1928,12.9797962222704,34525747.6310962,40660850.6183446
1929,12.9661682173169,34823902.5342026,42590628.2440483
1930,13.1920947806021,33716683.4358164,34759547.1133319
1931,13.1847839599332,34624990.2105448,37772908.9709512
1932,13.0995236643494,34472904.0589143,39720657.1774918
1933,13.0003836155157,33731579.1177641,36210835.8385397
1934,13.2580035158086,35013983.527553,44843212.5537965
1935,13.1493675795049,34266917.8191226,42119002.8584456
1936,13.3396900283151,35013941.7406348,43246529.4641193
1937,13.3540972116206,33899130.9290786,36388713.8986082
1938,13.2798765908892,34252564.4836477,38213897.3117082
1939,13.2369987975683,34416865.309083,40542165.8182041
1940,13.3610293382238,35622492.201457,43858168.2980297
1941,13.4653059898411,35633974.4490284,45303033.6049096
1942,13.4124894380525,34186899.77157,37384351.6982867
1943,13.3884062482063,34100646.0038737,36575819.3924635
1944,13.4332573268913,33716988.9385828,34288851.0725928
1945,13.4281335482353,33202205.5088867,33506920.6437527
1946,13.1740423570848,33516187.9551798,35504300.4089025
1947,13.2023365331637,34564123.1355458,39626492.7896618
1948,13.1807981460497,33856011.0161123,36504722.001651
1949,13.2873179759853,33394789.9516019,35183064.8313796
1950,13.2147920336349,32943117.5273343,34127993.7820812
1951,13.3407454895531,34010667.5145118,36722303.5755998
1952,13.2795102781203,33434631.4179038,35004346.5015548
1953,13.4005110507968,33387754.7742776,33967640.3971581
1954,13.2855779021399,33122310.7108238,33920969.7513708
1955,13.092320562513,33371418.5702353,34942477.6995861
1956,13.1025122652009,33801727.568083,35403370.9510354
1957,13.4670495394268,34041955.7849846,36155893.4118551
1958,13.543405443655,33834975.5016191,35738483.2869944
1959,13.4935818114092,33018005.9385842,34729870.3055949
1960,13.3706235166208,33065038.4777128,33892375.3089389
1961,13.4327667968776,33022007.0522546,33217000.2852837
1962,13.2367154050471,33945096.4898344,35746503.0686571
1963,13.3390027431503,34495216.7908815,37060074.2682298
1964,13.1034070766005,33157586.916031,33618144.9650311
1965,13.0938010955214,34479223.1864292,38031184.7364019
1966,13.1502690651249,33537147.1131104,36721789.1600722
1967,13.3243537054715,32740954.8164018,33172153.1582594
1968,13.2182830625558,33474472.6120313,36226960.43423
1969,13.2705936948231,33874234.1203034,35635965.3126739
1970,13.1862633178851,33899729.7233824,34966448.3625276
1971,13.0630521930596,33531909.9504808,36114685.7026913
1972,13.1476915568323,33811635.0705495,33968339.4262273
1973,13.1606457421503,33262264.5302503,34384711.8397562
1974,13.1792713471212,33607841.6617557,35782642.9212664
1975,13.0856255589259,33123973.999272,33793360.7345301
1976,13.1038665528392,34231847.96933,37061878.4530701
1977,13.2701428116494,33588812.6125367,34222768.2230404
1978,13.3219329435793,33251829.1594955,34307965.4226767
1979,13.3781828225154,33754101.9889234,34150037.6371596
1980,13.2739315422264,33858147.3327812,34733663.3054389
1981,13.339104979966,34359671.232773,37843308.8867186
1982,13.2360859865999,33904584.9251521,36081493.2288729
1983,13.5531008052263,34359870.9692809,34801856.9431215
1984,13.3489896157069,33982046.1382629,34791226.4447568
1985,13.1896069806556,33869219.0030581,34739101.9913321
1986,13.2624788910967,34487475.5614248,37145479.5444268
1987,13.3197526876202,34226892.9357971,35984585.6236646
1988,13.1942149374344,33266527.5515132,33549098.147455
1989,13.3956676078974,33172120.2512592,33041524.1827019
1990,13.4953536224764,32859748.1547987,31900671.158967
1991,13.2677407564826,33380679.7453434,32980256.4071651
1992,13.395866208509,33857869.3786598,34388787.527252
1993,13.3421625026583,34129598.7229624,35132337.9209726
1994,13.3811982978733,33012372.1511933,31883044.7495805
1995,13.4704575696642,33087941.1645888,31760097.3515494
1996,13.3311643650632,33482501.5593714,33743961.8765363
1997,13.7293456060928,33551349.9038373,33571281.7090005
1998,13.7342651583563,32847414.5954291,33090411.7093772
1999,13.4611236226587,32758856.6353299,33327746.4968435
2000,13.5181588107118,32957702.8750111,32867294.9436062
2001,13.5274444450105,32682276.4045958,31615429.9462566
2002,13.5858929738612,32954300.0611137,32867167.3258904
2003,13.7094964588532,32468260.7630273,32239097.1730532
2004,13.6617296254327,32497034.9665228,30946635.4184684
2005,13.7412205849931,32768615.5496608,31762366.7216463
2006,13.659625974484,33094076.0237051,32020103.8728674
2007,13.5480016823857,32475925.4430445,32568665.4090119
2008,13.4700045093608,32842271.3491956,31364844.3489852
2009,13.5121234074258,33093233.5870103,31664438.4490344
2010,13.5503232035162,33281302.4149199,33422733.647183
2011,13.511882455769,33589787.5089394,33138260.7292239
2012,13.6367184220828,33864093.3065261,142051362.289424
2013,13.6827787703651,33388266.1325114,32765655.6600119
2014,14.123630509622,32892480.9449101,32642795.2219206
2015,14.1495652981246,33565564.8775134,33472567.5114391
