"stockid","r","k","sigmaP","rho"
"CABEZSCAL",0.214791082952207,1.21942067730101,0.0206036847765742,0.879082593758512
"CAPENOR",0.7557034625663,0.803261892480948,0.159532995329258,0.478852707992755
"CHAKESA",0.188445579729654,1.48750989390065,0.00831590465901412,0.969177636148172
"CHERRCHVX",0.659046754238014,1.21224331310848,0.156070695161987,-0.00891370335113532
"CHILISPCOAST",0.208322442604274,1.16252199300927,0.041330408959978,0.305199547971818
"CHSQUIDSA",0.452248371337907,0.841273571197746,0.0777871721022199,0.294597550058112
"CHTRACCH",4.76369547281969e-11,2.30497425814484e-09,0.0167036700115253,0.979991403098455
"CMACKPJPN",0.429212757808794,1.48259386865398,0.0755124612509333,0.326825311684029
"CMACKTSST",0.680996868735378,1.48889015903162,0.0984652038647253,0.0701968456511455
"COD3M",1.0752004207404,1.01099301962487,0.111226250502937,0.407944864859527
"COD3NO",0.937665756814661,0.808319278414103,0.178303349428838,-0.19116071371389
"COD3Pn4RS",1.0023037619021,0.798951820832122,0.0781394694560821,0.873423323161836
"COD3Ps",1.27444856063726,0.708037205052142,0.315964209880029,0.123455265252439
"CODBA2532",0.49756954309036,2.04945867313358,0.0532517373350647,0.346439057739856
"CODFAPL",0.635466536290037,1.04708517900659,0.0889767250698311,0.532796597912799
"CODICE",0.483144526723693,1.2650580633431,0.0443591493432231,0.19922850878356
"CODIS",0.682097031810571,1.6969958316304,0.0914284369304498,0.553146365642627
"CODNEAR",0.623291021442011,1.1832140369415,0.0611660951890834,0.212032122494876
"CODNS",0.564627251133369,1.73707126247454,0.0848617800426336,-0.102102582908969
"CODVIa",0.38170872550018,6.0469793780406,0.0862681271832872,0.00060417363564906
"CODVIIek",0.600515735579045,1.87122482121529,0.095692408943897,0.0855824311094622
"CROCKPCOAST",0.033338267052217,1.86463009285779,0.00170708057560118,0.986041995924897
"CROCKWCVANISOGQCI",0.0695098398546274,1.08436059708866,0.00415196328302467,1.03242643079591
"CTRACSA",0.18004949170498,1.52504923426451,0.010871034747718,0.871965934424557
"DEEPCHAKESA",0.582655737975042,1.34630985819932,0.0135106540801987,0.852070162270578
"DEEPFLATHEADSE",0.192765190507447,1.00623861529414,0.0125057485887059,0.915353782574362
"DKROCKPCOAST",0.0620290789757904,1.83913072992374,0.00531286608948871,0.93475189434612
"DSOLEGA",0.00317872313684948,0.440969304565274,0.00658382209646758,0.747860510969611
"DSOLEPCOAST",0.0580966771224166,1.12226798443424,0.00270379682381155,0.982361273433931
"DUSROCKGA",0.0251629516299049,1.6304940862477,0.00920001362873183,0.97647762583499
"ESOLEHS",1.08101700034171,0.817770592782794,0.0912672228853905,0.604709483841782
"ESOLEPCOAST",0.231376206428045,0.843970577436044,0.0149409835643186,0.912543175745881
"FLSOLEBSAI",0.259350131706311,0.967302783217372,0.0120663236080438,0.885154420616936
"FLSOLEGA",0.158594235391762,0.919089448604748,0.0277502848090115,0.137373333239347
"FMEG8c9a",0.255762296939712,5.32563641628107,0.0493032809647436,-0.00507627202819548
"GEMFISHSE",0.0695868689173564,0.883676213946471,0.0166675322120414,0.947866984709928
"GHAL4RST",0.663487099752497,0.615285546965912,0.075687309974461,0.854165921937324
"GHALNEAR",0.238269725324896,2.75954070056628,0.0399582908426344,0.0917735526182533
"GOPHERSPCOAST",0.233892924070991,1.14610693012039,0.0470627142773275,-0.0421866089667765
"GRNSTROCKPCOAST",0.106989958286642,1.05361632715965,0.00616039507843904,0.475750658071826
"HAD4X5Y",0.657483902379904,0.377368752516852,0.152791725102334,0.378750006431645
"HADFAPL",0.478182220643361,0.97973962034745,0.0939916341668304,0.458882559809644
"HADICE",0.645048205137997,1.41232008827934,0.0659409635947313,0.632529193453048
"HADNEAR",0.508700114264835,1.32210478906596,0.0797878792370918,0.222497164874565
"HADNS-IIIa",0.384991792624102,0.366304383672159,0.17139024633186,0.31823406165715
"HAKENRTN",1.0877367727137,1.85300043915858,0.0640010715084921,0.794933748521407
"HERR2532",0.187483444702547,1.4045855267404,0.0386384161033857,0.0661307902084175
"HERR30",0.281114148712897,1.3252563431576,0.0625653640725352,0.213653331886487
"HERRCC",0.466245673281047,0.727810181761905,0.102644975543601,0.311629313388554
"HERRIsum",0.482651212374666,1.07000934671511,0.0933992970542398,0.387499367095855
"HERRNIRS",0.27591688046825,2.72239373965713,0.0728821247722005,-0.234057245894024
"HERRNORSS",0.315250562732907,1.14383109216242,0.0545310897154014,0.458980401669306
"HERRNS",0.441487756468249,1.17527072958411,0.057611775675792,0.478667758710008
"HERRNWATLC",0.692437193392892,0.804566315614469,0.0932341072204425,0.191561574609155
"HERRQCI",0.441179475546696,0.827249763572931,0.148677208982275,0.213706422856536
"HERRRIGA",0.437672786978778,1.58447920384872,0.0874112636799787,-0.468755911550794
"HERRSIRS",0.49050884307982,0.860489638465045,0.12486452412045,-0.384292206608096
"HERRTOG",1.10928127434949,0.96880555072685,0.13037159048064,-0.0944386261472895
"HERRVIa",0.31474282774491,0.88387568812058,0.104325916086207,-0.159829599992553
"HERRWCVANI",0.554890753039002,0.770347312112416,0.106909399158399,0.484233270454234
"HMACKCH",0.149807411739409,0.998346274092411,0.025342619688839,0.953191005375833
"JANCHOPJPN",0.646339824531219,1.02966364206729,0.0798399135112209,0.411151772746685
"JANCHOSETO",0.614939443708768,1.27692746716518,0.14585987869678,-0.355403255273369
"JANCHOTSST",0.910376697894599,1.18799417929903,0.116115938115166,0.252151423883821
"JMACKPJPN",0.625115631947509,2.9677648566622,0.082602711245284,0.0124549258360531
"JMACKTSST",0.924619322307105,1.40341775661963,0.112032011056189,0.521512990964101
"KELPGREENLINGORECOAST",0.239993273330732,0.784081198053534,0.0395620862632044,0.809533165063529
"KINGKLIPSA",0.134100022639044,1.60090795192518,0.00171865540844212,0.569502166913674
"LINGCODNPCOAST",0.184456386869512,0.909682918576865,0.0164084027888098,0.832532622128047
"LINGCODSPCOAST",0.188107640354832,1.42981839755857,0.0238320110811321,0.796466767220662
"LISQUIDATLC",1.25687365038383,0.682390400094598,0.249961926177607,-0.0685173944114663
"LSTHORNHPCOAST",0.0630091159216709,0.865201824224089,0.00298959380324416,0.967387475518904
"MACKNEICES",0.437580855321127,1.13853071779286,0.0342509639657154,-0.326305208404919
"MACKNWATLSA3-4",0.265630299220108,0.817284715529122,0.106631090679302,-0.0787450637967884
"MEG8c9a",0.230433683971934,5.44959370637283,0.0917745166914542,-0.0504420529951009
"MENATLAN",0.555498672115168,0.962303751823296,0.0964660025094878,0.00350969082936372
"MONKGOMNGB",0.0877878997681825,1.08116482362907,0.0200727521584571,0.994869844069699
"MONKSGBMATL",0.43618423690726,1.05427008420566,0.00965528502861888,0.904127576778483
"NROCKBSAI",0.0677119468355578,1.55068766600478,0.00865493570187552,0.728832037094123
"NROCKGA",0.0141147280980183,0.302091443423264,0.00646447097979558,0.976649603665664
"NRSOLEEBSAI",0.365426091375539,1.02438188851972,0.0184250621913636,0.692578473226478
"NSHRIMPCH",0.398084349872141,1.71316057916354,0.0363124376742947,0.43767575686008
"NZLINGESE",0.167902797823013,1.0570692958145,0.0192160244509268,0.651507735195053
"NZLINGLIN6b",0.131677215297936,0.97721550130249,0.0170745383133499,0.560001779865417
"NZSNAPNZ8",0.177857433752523,1.00704096998124,0.0130160575668694,0.25252631916338
"PACBTUNA",0.342133241722127,1.52451252523508,0.023716896581153,0.850553488487976
"PANCHCHVX",0.989861792265638,0.898151454115224,0.14246632836619,0.341216380692901
"PANCHNCH",0.646932176704774,1.17941580391724,0.243436238822961,-0.511019280137788
"PANCHPERUNC",1.30280095309461,1.25014912612112,0.158392083112083,0.153263746733736
"PANCHSCH",0.609193682148837,0.723014674331782,0.140222919457177,0.24320749040018
"PANDALGOM",1.07177954485356,0.935852872467305,0.0816800155298799,0.78482526030097
"PATGRENADIERCH",0.169685983874018,1.92857615697395,0.0598739127877495,0.142770248588816
"PATGRENADIERSARG",0.602641541291539,0.780775071072758,0.0580380584522546,0.926498293106276
"PCEELCH",0.479438850819357,1.10256058380838,0.0242897040696528,0.904284573468005
"PCOD5AB",0.381895879099435,1.04196280779819,0.128520952716281,0.391044687129993
"PCODBSAI",0.945563753704209,0.824693711443143,0.125562680679267,0.194322536024819
"PCODHS",0.40482288201103,0.927775453347089,0.074786411227024,0.613403268424678
"PCODWCVANI",0.572119712744279,0.771583516633635,0.107355012511921,0.686914663490848
"PERCHEBSAI",0.201911259031331,1.13113217317068,0.00876049504591906,0.456100013598954
"PERCHQCI",0.0270168466367561,0.895992514563686,0.00751536479901177,0.886031603209227
"PERCHWCVANI",0.0907698570662094,1.01005174650587,0.00517972870241984,0.82415319905694
"PILCHPJPN",0.430723631737246,1.06997616946847,0.0640608602608584,0.679896004446176
"PILCHTSST",0.500991571283558,1.0351916749164,0.051826433169464,0.569574804591347
"PLAIC7d",0.725488998341703,1.19880765819585,0.0979909536888803,0.138696023880746
"PLAICECHW",0.430372273650174,2.24931120658765,0.113275512561519,-0.321173022113447
"POLL5YZ",0.151062958291697,0.942914563662427,0.0420059849099178,0.0961970077061698
"POLLFAPL",0.400503680773893,1.25521654895105,0.0597648164395276,0.358988965673302
"POLLIEG",0.524115943916352,1.20857968222801,0.0629417079500598,0.435224448646057
"POLLNEAR",0.491901907761014,1.38290349712365,0.0533672123878474,0.0246305868212384
"POLLNS-VI-IIIa",0.443140637766385,1.70417889272498,0.0644838530028942,0.295475709550553
"POPERCHPCOAST",0.0404914116828563,1.10963883322853,0.00341619912152909,0.574162019701462
"PSOLEPCOAST",0.190874420037324,1.23752662106951,0.00471780523955546,1.00655619557663
"PTOOTHFISHCH",0.221869598075446,1.04471412015303,0.0740885997027989,0.118887691909028
"PTOOTHFISHMI",0.0587423370379433,0.984715011779809,0.00338272052151175,0.952517274920064
"REDDEEP2J3K-3LNO",0.407275834905149,0.370227780502671,0.0892672025729955,-0.53519860053093
"REDFISHSPP3M",0.363071039335362,0.567052917480788,0.136683996358564,0.259964641162029
"REYEROCKGA",0.108506896372323,1.05612979643415,0.00465809490485191,0.327780296204836
"RGROUPSATL",0.33807974914652,1.67200030059552,0.0218151893711141,0.645923652807701
"RHERRTSST",0.744515160206612,1.14781547239598,0.108765931156516,0.17005876572027
"RKCRABBB",0.396363649221277,1.20494740222723,0.0238773790280481,0.866821644297272
"RKCRABPI",0.536976038987105,0.616255669745213,0.199744389607827,-0.06253236806162
"RPORGYSATLC",0.147403367714484,1.28213323731586,0.0117493445387733,0.747848815599363
"RROCKLOBSTERCRA1",0.295957786867909,0.974224614992247,0.0134555715009667,0.806925764510771
"RROCKLOBSTERCRA2",6.74654608470329e-10,3.9972122312327e-07,0.0112277005636422,0.993735369953792
"RROCKLOBSTERCRA3",0.224813129707283,1.06921800697285,0.0234380639510626,0.987436301314741
"RROCKLOBSTERCRA4",0.14939054876684,1.0588677955398,0.0147726446871259,0.991126364052706
"RROCKLOBSTERCRA5",0.013480181730789,1.00468994650057,0.00719707934413084,1.00822764676077
"RROCKLOBSTERCRA7",1.2012143615953,1.35922060028793,0.0710707492476942,0.560911294902886
"RROCKLOBSTERCRA8",0.913261576942451,1.36679293441032,0.0388215193883604,0.761718249346733
"RROCKLOBSTERSAUSNZ",0.474980854524954,1.22514394640307,0.0363782999179491,0.47250860487848
"RROCKLOBSTERSAUSSZ",0.945574777973744,1.39931561681815,0.077673881549729,0.185485745400646
"RSARDINWA",1.02868072125687,1.15947814594664,0.116844804394526,0.51683718062392
"RSNAPSATLC",0.0552897829180065,0.882912933355547,0.00838193620277375,0.901990381417277
"SABLEFEBSAIGA",0.103181974707162,1.15484506937703,0.0495700900624064,0.0367043762583197
"SABLEFPCAN",0.0130078577125015,0.73750355611562,0.003878490968923,0.986766623151342
"SAILEATL",0.27666966402696,1.03386819754555,0.0083519132631065,0.40723919104027
"SAILWATL",0.058295308372637,1.0742405286982,0.00944399266538866,-0.0726497685878388
"SARDINWA",1.02868072125687,1.15947814594664,0.116844804394526,0.51683718062392
"SARDPCOAST",0.58970157249416,0.865123653988547,0.065161960662717,0.572045794938188
"SARDSA",0.423179051496048,0.722671574879924,0.106622197288837,0.226471037164379
"SBELLYROCKPCOAST",0.105961410069021,0.563381514533385,0.032571684940588,0.849903605352182
"SBT",0.0568866155569289,0.99959129727028,0.00721627871574151,0.755091895565309
"SCALL5ZMAB",0.477838711320245,1.85726040551197,0.0358370767038747,0.815767811370363
"SCALLGB",0.815673948708196,0.986218940494655,0.133250190746431,0.32512120201049
"SCALLNBB",0.645865711878248,0.659064705397231,0.117982132248592,0.362653775129398
"SEELNSSA1",1.04653317985939,0.812808903306545,0.215709611539156,-0.491106405397801
"SEELNSSA2",0.810429833278166,0.78527872646183,0.205433592942268,-0.395632150986592
"SEELNSSA3",0.995399479256283,0.890904076510918,0.136989205356626,-0.320909460101232
"SHAKE4VWX",0.538763170894727,0.96315411073794,0.100607752022748,-0.0716873744887465
"SILVERFISHSE",0.42167091287471,0.978232563894831,0.0330177390639878,0.708309453244043
"SKJCIO",1.05180190053824,0.797883444810168,0.0884181812123118,0.62390017713591
"SKJEATL",2.67575161757091,1.00054529088936,0.0199660598142769,1.0026944701512
"SKJWATL",1.28291382301805,1.00928204369903,0.0299911668815133,0.977854484553001
"SNAPSAUSNSG",0.388530899245179,0.605590143987463,0.0138445155507328,1.14328175548909
"SNAPSAUSSSG",0.229000809068921,1.15280412122836,0.0160786323709656,0.876127617489226
"SNOWGROUPSATLC",0.214476690985963,1.29925033591894,0.0217197385451804,0.717176208869404
"SNROCKPCOAST",6.6546955939354e-11,1.64844358238612e-08,0.00806788789281516,1.03130613538862
"SOLECS",0.172543154257635,0.492678844018703,0.0520582339480558,-0.135720659919227
"SOLEIIIa",0.616483556378051,1.12422763428318,0.111267826446463,0.116226837591031
"SOLEIS",0.387554654204755,1.41786897928564,0.0711289876473221,0.0903912047061951
"SOLEVIId",0.562437467805914,1.48623676253688,0.0753189975057682,-0.124994180508715
"SOLEVIIe",0.288081531298442,2.43259055965564,0.059708879150681,-0.17258576625358
"SOLEVIII",0.420238742592144,3.15526274032064,0.0507485903213878,0.156461941247971
"SOUTHHAKECH",0.0427829662152874,0.944688753073848,0.00501883473340483,0.768947135432469
"SPANMACKSATLC",0.38382879303343,1.18109265628864,0.0177753310564681,0.529611512546139
"SPHAKECH",0.148834915292029,1.18103023128917,0.0595429354733668,0.432158142863387
"SPRAT22-32",0.292765905382976,1.14713039161282,0.131486277866413,-0.0989120406646348
"SSLOBSTERSASC",0.3728298440225,1.19574917332634,0.0476289551273368,0.00230855736797768
"SSTHORNHPCOAST",0.0343890499778554,0.890461799795166,0.00258403060020027,-0.5257118808488
"STFLOUNNPCOAST",0.243722412011801,0.506721543624167,0.160169593597453,0.446972845087735
"STFLOUNSPCOAST",0.379561698692564,0.581479841574431,0.125675208310247,0.489813777324962
"STMARLINIO",0.257384321441838,0.998003683775038,0.00347899072517523,0.711111332925142
"STMARLINNEPAC",0.702384986353226,1.24182523135605,0.0906127413402605,0.271188756833379
"STMARLINSWPO",0.267048044027568,1.12322923546321,0.0153392380507492,0.674088866660144
"STMARLINWCNPAC",1.05145571461727,1.0595204373681,0.10660556329613,0.320458652361196
"SURFMATLC",0.161463913223706,1.20660119198391,0.00543144520431253,1.05257635671934
"SWHITSE",0.468489340948291,1.08732872032054,0.0520132497533322,0.717905574270041
"SWORDEPAC",0.111300604892481,0.695639423292359,0.0320234163967287,0.942366552988602
"SWORDMED",0.306476203719535,0.827057014810925,0.0479677200514181,0.118400159924417
"SWORDNPAC",0.496407323428379,0.793942756537707,0.0320985159929857,0.935236927959925
"TIGERFLATSE",0.0256738032303963,0.91156057340131,0.00574463452887912,0.995239849886177
"TILEGM",0.171671028710878,1.00619625836139,0.00477323886996455,0.966306698971194
"TILESATLC",0.142525693515384,0.977112535675501,0.00819389757537069,0.911908089448979
"VSNAPSATLC",0.425297674461316,0.974092209639991,0.0564774378854773,-0.309675378093884
"WAREHOUESE",0.269509434738172,0.999114848539345,0.117755897515359,0.171795782420053
"WAREHOUWSE",0.37006870559995,0.755863045253773,0.104443358842371,-0.267579967181152
"WHAKEGBGOM",0.336789184518798,1.4295445711208,0.0335423191025478,0.382890579749743
"WHITNS-VIId",0.467612609811104,0.719093659526811,0.128369272804177,0.304886408968138
"WHITVIa",0.39235952790147,0.635016143092877,0.03902140447213,-0.011671731538608
"WHITVIIek",0.735690610629736,1.08674659235342,0.0760520011429489,0.657219118200923
"WMARLINATL",0.131936681384712,1.86413001930276,0.0120754796405594,0.411826610700247
"WPOLLAI",0.237005528254706,0.811361603901684,0.0386503953454096,0.835921782770384
"WPOLLEBS",0.735810258644047,0.919879070850023,0.102010616301295,0.327460805709555
"WPOLLGA",0.337818751156929,0.680220625869156,0.0601794824933823,0.746638540581356
"WPOLLWBS",0.14473472849212,1.62344870775271,0.0301554431957687,0.771863758477032
"WROCKPCOAST",0.105944626004171,0.801396563397026,0.00581799345902173,0.978108728859118
"YEGROUPGM",0.0520933475938212,1.40084186518724,0.0224843483003577,0.584888377037462
"YELLSNEMATL",0.994458335305912,0.712227074052026,0.151489390434055,0.113863884797896
"YNOSESKACH",0.0768309713534367,1.13274279189382,0.00305171570205765,0.577054824239748
"YSOLEBSAI",0.205726873916426,1.08445832251708,0.00693863469708643,0.971504536502326
"YTROCKNPCOAST",0.106371749767932,1.54920063500335,0.0391649874300436,0.185303110726843
"YTSNAPSATLCGM",0.0594428934553535,3.6600728686824,0.0494156254982049,-0.463977872807531
