"type","lme","n","msy_tmt","lat_dd","sst_c_mean","sst_c_slope_10yr","betaT","ts_slope","ts_pval","ts_slope_sd","ts_pval_sd","pdiff"
"HSA","North Pacific Ocean",4,149.585589205667,22.4002334737377,22.1422494104082,0.035850252762314,-0.0083444795075342,304.404616829788,3.10029288862435e-101,0.00200112639994582,3.10029288862435e-101,2.02478813305795
"LME","North Sea",9,2454.60348645662,57.3859168180953,9.81867703675405,0.0816482255755926,-0.355901871150736,-78384.5161430758,1.19138500691205e-33,-0.0194374467081598,1.19138500691205e-33,-34.5625051596302
"LME","Northeast U.S. Continental Shelf",15,878.009584728532,40.9669452231641,11.4959431169785,0.0643102179509374,0.199077518471786,4096.48632868945,2.55023001012152e-08,0.00395719097168434,2.55023001012152e-08,6.45337863607553
"LME","Norwegian Sea",1,1262.65020325825,68.448171704719,6.78627495143645,0.0400299047693595,0.0116967006189128,614.370282914758,1.2316182184415e-43,0.000481377036339604,1.2316182184415e-43,1.05195713704142
"LME","Patagonian Shelf",2,349.157565553905,-46.3316279001902,10.3041329161141,0.0593150402667537,0.00530472577828424,270.68004380203,6.9485004676301e-58,0.000768878773181658,6.9485004676301e-58,0.309601004240687
"LME","Scotian Shelf",2,40.9761388528764,45.580287452441,7.18966119533828,0.0741049131528939,0.0421796705020246,93.9843989906078,7.19891416135735e-19,0.00221068296263737,7.19891416135735e-19,1.94449695196566
"LME","Sea of Japan",1,30.947642035119,41.2602060431076,12.2656370212716,0.133873893821276,-0.139046277616788,-1119.70006916586,1.53920895771479e-119,-0.0240261317998166,1.53920895771479e-119,-34.7208834700656
"HSA","South Atlantic Ocean",1,25.1504179333797,-34.6794035443897,14.3703269058798,0.0746903915940366,-0.0690052512640088,-180.20724671525,4.63861507690555e-226,-0.0068387297398385,4.63861507690555e-226,-5.29594481794373
"HSA","South Pacific Ocean",5,86.6714079838873,-30.3784367285065,18.0606013871508,0.0459970760425509,0.104201006479707,387.739996446037,3.41391150088498e-158,0.00432081391501984,3.41391150088498e-158,4.16584929764357
"LME","South West Australian Shelf",5,2.7766680425621,-35.1724509859145,16.9866930599032,0.0737807707003448,0.0728601575920271,16.1965350380291,3.06911915448446e-125,0.00560731212073796,3.06911915448446e-125,4.19194496875448
"LME","Southeast Australian Shelf",8,9.22877739018706,-41.0284589885485,14.5645513355899,0.0876810417852991,0.0868183144481495,60.1893108105959,3.20544702211901e-121,0.00621691847287116,3.20544702211901e-121,4.67947825221459
"LME","Southeast U.S. Continental Shelf",9,20.3924652335359,30.4294290662164,25.369137283486,-0.115048998276731,0.0925572211917881,-175.954037391978,2.28012554600225e-131,-0.00789899861668279,2.28012554600225e-131,-4.98153666169499
"LME","West Bering Sea",1,143.256588986257,57.1721843219699,4.26289238352881,0.0371600405825854,0.0311730769918283,35.7023097487397,0.0203466871851261,0.000231620143680637,0.0203466871851261,1.82301034358047
