"lme_name","stockid","spp_name","area","sst_c_avg","sst_c_trend_10yr","betaT","betaT_inf","msy1","msy2","msy_pdiff"
"Agulhas Current","SARDSA","Sardine (Sardinops sagax)","South Africa",20.2,0.17,-0.04,"none",331678.17,322412.47,-2.8
"California Current","SBELLYROCKPCOAST","Shortbelly rockfish (Sebastes jordani)","Pacific Coast",14.2,0,-0.01,"none",3639.0838,3641.5097,0.1
"Indian Ocean","SBT","Southern bluefin tuna (Thunnus maccoyii)","Southern Oceans",15,0.11,0.09,"none",17460.9715881833,18501.7985071169,6
"Northeast U.S. Continental Shelf","SCALL5ZMAB","Sea scallop (Placopecten magellanicus)","Georges Bank and Mid-Atlantic Bight",12.1,0.25,0.38,"none",12794.285,16910.57,32.2
"Northeast U.S. Continental Shelf","SCALLGB","Sea scallop (Placopecten magellanicus)","Georges Bank",13.2,0.11,0.4,"positive",6541.0305,8427.088,28.8
"Northeast U.S. Continental Shelf","SCALLNBB","Sea scallop (Placopecten magellanicus)","North Brown Bank",8.7,0.26,0.2,"none",2345.7311,2684.3871,14.4
"North Sea","SEELNSSA1","Sand eel (Ammodytes marinus)","North Sea",10.2,0.56,-0.42,"negative",563800.08,409533.9,-27.4
"North Sea","SEELNSSA2","Sand eel (Ammodytes marinus)","North Sea",10.2,0.56,-0.47,"negative",136517.98,95451.331,-30.1
"North Sea","SEELNSSA3","Sand eel (Ammodytes marinus)","North Sea",10.2,0.56,-0.5,"negative",379478.08,259898.16,-31.5
"Scotian Shelf","SHAKE4VWX","Silver Hake (Merluccius bilinearis)","Scotian Shelf and Bay of Fundy",14.5,0.34,0.1,"none",18514.741,19143.843,3.4
"Southeast Australian Shelf","SILVERFISHSE","Silverfish (Seriolella punctata)","Southeast Australia",15.6,0.07,-0.03,"none",2845.3691,2801.9939,-1.5
"Indian Ocean","SKJCIO","Skipjack tuna (Katsuwonus pelamis)","Indian Ocean",20.6,0.11,0.13,"none",408508.47,441031.42,8
"North Atlantic Ocean","SKJEATL","Skipjack tuna (Katsuwonus pelamis)","Eastern Atlantic",10.2,0.07,-0.1,"none",289535.22,277536.03,-4.1
"North Brazil Shelf","SKJWATL","Skipjack tuna (Katsuwonus pelamis)","Western Atlantic",14.3,0.06,0,"none",17326.141,17312.44,-0.1
"South West Australian Shelf","SNAPSAUSNSG","New Zealand snapper (Pagrus auratus)","Northern Spencer Gulf",17.1,0.18,0.09,"none",372.22214,388.11717,4.3
"South West Australian Shelf","SNAPSAUSSSG","New Zealand snapper (Pagrus auratus)","Southern Spencer Gulf",17.2,0.19,0.13,"none",263.43744,280.99959,6.7
"Southeast U.S. Continental Shelf","SNOWGROUPSATLC","Snowy grouper (Hyporthodus niveatus)","Southern Atlantic coast",24.5,-0.12,0.17,"none",221.58918,195.4351,-11.8
"California Current","SNROCKPCOAST","Splitnose Rockfish (Sebastes diploproa)","Pacific Coast",14.2,-0.02,0.02,"none",2.8947193e-14,2.8884782e-14,-0.2
"Celtic-Biscay Shelf","SOLECS","Common sole (Solea solea)","Celtic Sea",12.3,0.27,-0.25,"none",257.22405,211.03481,-18
"North Sea","SOLEIIIa","Common sole (Solea solea)","Kattegat and Skagerrak",9.7,0.66,-0.27,"negative",960.43271,797.63641,-17
"Celtic-Biscay Shelf","SOLEIS","Common sole (Solea solea)","Irish Sea",11,0.28,-0.39,"negative",1386.0339,1025.18168,-26
"Celtic-Biscay Shelf","SOLEVIId","Common sole (Solea solea)","Eastern English Channel",12.6,0.44,0.03,"none",4729.4415,4867.1975,2.9
"Celtic-Biscay Shelf","SOLEVIIe","Common sole (Solea solea)","Western English Channel",12.5,0.28,-0.08,"none",1158.5688,1087.6007,-6.1
"Bay of Biscay","SOLEVIII","Common sole (Solea solea)","Bay of Biscay",15.1,0.34,0.01,"none",7121.3932,7188.6787,0.9
"Humboldt Current","SOUTHHAKECH","Southern hake (Merluccius australis)","Chilean EEZ and offshore",13,-0.03,-0.02,"none",9875.4439,9764.7337,-1.1
"Southeast U.S. Continental Shelf","SPANMACKSATLC","Spanish mackerel (Scomberomorus maculatus)","Southern Atlantic coast",24.8,-0.2,0.18,"positive",2716.2877,2332.1449,-14.1
"Humboldt Current","SPHAKECH","Peruvian hake (Merluccius gayi gayi)","Chilean EEZ and offshore",12.9,-0.05,-0.01,"none",56856.868,56459.676,-0.7
"Baltic Sea","SPRAT22-32","Sprat (Sprattus sprattus)","Baltic Areas 22-32",7.7,0.38,0.27,"none",245715.05,297361.63,21
"Agulhas Current","SSLOBSTERSASC","Southern spiny lobster (Palinurus gilchristi)","South Africa South coast",19.4,0.12,0.01,"none",383.93194,384.97377,0.3
"California Current","SSTHORNHPCOAST","Shortspine thornyhead (Sebastolobus alascanus)","Pacific Coast",14.2,-0.13,-0.03,"none",1650.2397,1655.0334,0.3
"California Current","STFLOUNNPCOAST","Starry flounder (Platichthys stellatus)","Northern Pacific Coast",12.4,0.25,0.03,"none",1203.6711,1202.7644,-0.1
"California Current","STFLOUNSPCOAST","Starry flounder (Platichthys stellatus)","Southern Pacific Coast",13,-0.14,0.06,"none",635.1447,628.6072,-1
"Indian Ocean","STMARLINIO","Striped marlin (Kajikia audax)","Indian Ocean",24.2,0.12,0.09,"none",3501.4911,3696.0717,5.6
"North Pacific Ocean","STMARLINNEPAC","Striped marlin (Kajikia audax)","Northeast Pacific",23.9,0.06,-0.07,"none",2013.3462,1974.4624,-1.9
"South Pacific Ocean","STMARLINSWPO","Striped marlin (Kajikia audax)","Western Pacific Ocean",24.4,0.09,0.26,"none",2033.395,2380.5082,17.1
"North Pacific Ocean","STMARLINWCNPAC","Striped marlin (Kajikia audax)","Western and Central North Pacific",22.6,0.05,-0.04,"none",9661.4394,9464.5854,-2
"Northeast U.S. Continental Shelf","SURFMATLC","Atlantic surfclam (Spisula solidissima)","Mid-Atlantic Coast",13.1,0.09,0.07,"none",59229.621,61745.734,4.2
"Southeast Australian Shelf","SWHITSE","School whiting (Sillago flindersi)","Southeast Australia",17.1,0.11,0.16,"none",1636.1156,1803.2399,10.2
"South Pacific Ocean","SWORDEPAC","Swordfish (Xiphias gladius)","Eastern Pacific",21,0.07,0.04,"none",1760.9699,1787.773,1.5
"Mediterranean Sea","SWORDMED","Swordfish (Xiphias gladius)","Mediterranean Sea",19,0.36,0.04,"none",12117.652,12304.865,1.5
"North Pacific Ocean","SWORDNPAC","Swordfish (Xiphias gladius)","North Pacific Ocean",22,0.05,0.02,"none",14172.843,14280.336,0.8
"Southeast Australian Shelf","TIGERFLATSE","Tiger flathead (Platycephalus richardsoni)","Southeast Australia",15.7,0.07,0.11,"none",353.38684,376.0255,6.4
"Gulf of Mexico","TILEGM","Tilefish (Lopholatilus chamaeleonticeps)","Gulf of Mexico",24.4,-0.03,0,"none",110.43851,110.44387,0
"Southeast U.S. Continental Shelf","TILESATLC","Tilefish (Lopholatilus chamaeleonticeps)","Southern Atlantic coast",24.7,-0.18,-0.02,"none",307.60738,312.10845,1.5
"Southeast U.S. Continental Shelf","VSNAPSATLC","Vermilion snapper (Rhomboplites aurorubens)","Southern Atlantic coast",24.5,-0.11,0.02,"none",673.5681,662.94579,-1.6
"Southeast Australian Shelf","WAREHOUESE","whario (Seriolella brama)","Eastern half of Southeast Australia",16.4,0.13,0.09,"none",1053.2643,1126.4136,6.9
"Southeast Australian Shelf","WAREHOUWSE","whario (Seriolella brama)","Western half of Southeast Australia",16.7,0.12,0.08,"none",388.62644,404.3664,4.1
"Northeast U.S. Continental Shelf","WHAKEGBGOM","White hake (Urophycis tenuis)","Gulf of Maine / Georges Bank",9.9,0.25,0.24,"positive",4148.0729,5024.7717,21.1
"North Sea","WHITNS-VIId","Whiting (Merlangius merlangus)","IV and VIId",10.5,0.43,-0.35,"negative",145110.65,110920.35,-23.6
"Celtic-Biscay Shelf","WHITVIa","Whiting (Merlangius merlangus)","West of Scotland",10.8,0.39,-0.3,"none",10676.6577,8895.6593,-16.7
"Celtic-Biscay Shelf","WHITVIIek","Whiting (Merlangius merlangus)","Celtic Sea",13.1,0.32,-0.26,"none",17805.565,15148.468,-14.9
"North Atlantic Ocean","WMARLINATL","White Marlin (Kajikia albida)","Atlantic Ocean",12,0.15,-0.16,"none",1091.4156,1020.86036,-6.5
"East Bering Sea","WPOLLAI","Alaska pollock (Theragra chalcogramma)","Aleutian Islands",5.9,-0.02,-0.01,"none",51181.1385926932,50906.357850059,-0.5
"East Bering Sea","WPOLLEBS","Alaska pollock (Theragra chalcogramma)","Eastern Bering Sea",4.3,0.01,-0.08,"none",2401166.46302637,2338139.53778647,-2.6
"Gulf of Alaska","WPOLLGA","Alaska pollock (Theragra chalcogramma)","Gulf of Alaska",7.3,-0.04,-0.1,"none",222188.991829479,214994.483368382,-3.2
"West Bering Sea","WPOLLWBS","Alaska pollock (Theragra chalcogramma)","Western Bering Sea",3.9,0.17,0.06,"none",143802.28,146384.02,1.8
"California Current","WROCKPCOAST","Widow rockfish (Sebastes entomelas)","Pacific Coast",14.2,0.01,0.08,"none",3767.6493,3733.0862,-0.9
"Gulf of Mexico","YEGROUPGM","Yellowedge grouper (Hyporthodus flavolimbatus)","Gulf of Mexico",24.3,0.07,0.04,"none",274.52298,272.80054,-0.6
"Northeast U.S. Continental Shelf","YELLSNEMATL","Yellowtail flounder (Limanda ferruginea)","Southern New England /Mid Atlantic",13.4,0.12,0.12,"none",10303.6002,11109.706,7.8
"Humboldt Current","YNOSESKACH","Yellownose skate (Zearaja chilensis)","Chilean EEZ and offshore",13,-0.05,0.06,"none",300.81619,309.63432,2.9
"East Bering Sea","YSOLEBSAI","Yellowfin sole (Limanda aspera)","Bering Sea and Aleutian Islands",4,0.12,0.02,"none",145117.416101847,145922.527399859,0.6
"California Current","YTROCKNPCOAST","Yellowtail rockfish (Sebastes flavidus)","Northern Pacific Coast",12.4,0.14,0.04,"none",4293.6759,4281.9457,-0.3
"Gulf of Mexico","YTSNAPSATLCGM","Yellowtail snapper (Ocyurus chrysurus)","Southern Atlantic coast and Gulf of Mexico",24.4,0.02,0,"none",1571.1364,1568.2941,-0.2
